NUMBER_1,DIALOG_1_1,DIALOG_1_2,DIALOG_1_3,NUMBER_2,DIALOG_2_1,DIALOG_2_2,DIALOG_2_3,NUMBER_3,DIALOG_3_1,DIALOG_3_2,DIALOG_3_3,NUMBER_4,DIALOG_4_1,DIALOG_4_2,DIALOG_4_3,NUMBER_5,DIALOG_5_1,DIALOG_5_2,DIALOG_5_3,NUMBER_6,DIALOG_6_1,DIALOG_6_2,DIALOG_6_3,NUMBER_7,DIALOG_7_1,DIALOG_7_2,DIALOG_7_3,NUMBER_8,DIALOG_8_1,DIALOG_8_2,DIALOG_8_3,NUMBER_9,DIALOG_9_1,DIALOG_9_2,DIALOG_9_3,NUMBER_10,DIALOG_10_1,DIALOG_10_2,DIALOG_10_3,NUMBER_11,DIALOG_11_1,DIALOG_11_2,DIALOG_11_3
TPCCHT-000002-11,i had rememered hearing about that before immortatlity is wasted on a jellyfish haha did you know a seahorse is the only fish that has an actual neck,that is so funny i guess i never considered a seahorse a fish the black swallower fish sounds a lot like a snake because it can eat pray that is so large,i guess they live up to their name then,[attention check],[empty line],ive heard that too did you know that the dc in dc comics stands for detective comics,do you like dance,TPCCHT-000009-7,and there are more pets in japan than there are children under 15 you cant be a pets owner in boulder but you can be their guardian,i have a pet i am an ailurophile meaning i love cats,cool word did you know there are 20 quintillion animal varieties on earth,TPCCHT-000005-10,yes for sure they are they have grown so much over the years,but i like that they like to have fun too have you ever typed askew into google,no i have what does the results turn,TPCCHT-000000-16,interesting they also have gills did you know that jellyfish are immortal,yes fish is the important resources of human world wide for the commercial and subsistence fish hunts the fish in the wild fisheries,what about cats do you like cats im a dog fan myself,TPCCHT-000005-6,do you know how google maps calculates traffic,i am not sure how do they do this,they track how fast android devices are moving,TPCCHT-000009-19,yes a seahorse wouldnt be very good for that purpose did you know seahorses are the only fish with a neck,i dont think a black swallower fish would be good as a companion pet either because it can eat prey twice its length,that would freak me out but i bet it catches that prey using its acoustic communication,TPCCHT-000001-17,yes and then he also invented names like jessica olivia and miranda,yes and for his works you have to use old english for it to make sense,yes otherwise the rhymes and puns do not seem to work out,TPCCHT-000003-8,i always just thought of him as a martial arts legend now he is a dance legend of sorts too,yeah that is correct he was a fantastic martial artist did you know that tupac danced ballet in high school,yeah he was the mouse king in the nutcracker thats pretty cool i would definitely never have guessed that about him,TPCCHT-000009-13,lolspeaking of water animals did you know that hiccoughs are a left over from evolution when we had gills,maybe that connection is part of why 84 of human disease genes have counterparts in zebrafish too hmm,hmm good theory seeing that the most popular pets are cats and dogs it is no surprise that they are commonly used for therapy in hospitals,TPCCHT-000008-19,indeed he doesnt but ive always liked chewbacca because he reminded me of a giant dog ha speaking of dogs i think its cool that dogs along with elephants are the only animals that understand pointing,i wouldnt be surprised if cats understood it but just didnt care lol,ha no kidding speaking of dogs and cats i like how google prefers dogs over cats and even states in their code of conduct that theyre a dog company that is awesome
TPCCHT-000004-1,[empty line],do you like dance,i love it did you know bruce lee was a dancer,TPCCHT-000001-14,nice do you like shakespeare,yes i do do you know that he popularized many phrases,yes like good riddance in my heart of hearts and such,TPCCHT-000004-11,yes he was in the nutcracker as the mouse king,yeah do you like shakespeare,i love his work did you know he popularized many terms that we use to this day,TPCCHT-000003-21,no i think its very expensive for them to be professional ballet dancers based on this,it has been great chatting but i must go gotta go get my bruce lee on the martial arts part definitely not the dance,ha ha it was so nice chatting with you as well have a nice day bye,TPCCHT-000004-17,yeah good point he also invented some womens names,yes among those are olivia miranda and jessica,yeah did you know that his works have to stick to the old english language to make sense,TPCCHT-000001-20,yes he lived at the same time as pocahontas too,i wonder if they met how that would go from there,yeah interesting point nice chat,TPCCHT-000007-11,it makes sense when you put it that way but in terms of that universe size the electron could be very big,maybe they did mean to say that our universe is contained in an electron in another universe,i dont know but i am at the end of knowledge on this subject what do you think about the facts of comics i would have thought us invented them but its japan or uk,TPCCHT-000008-13,i would like to see it as well did you know chewbacca actually had a wife and two boys thats pretty interesting,i vaguely recall reading something in the star wars fictional universe where a young han solo stayed with chewbacca and his mom in their home,thats so weird isnt it ha are you one of the fans who believes both r2d2 and chewbacca were secret rebel agents i kind of think its an interesting theory,TPCCHT-000004-2,do you like dance,i love it did you know bruce lee was a dancer,yes he even won a cha cha championship in 1958,TPCCHT-000005-1,[empty line],hi do you use google much,yes i think it is the most effective search engine how about you do you use gmail,[attention check],[empty line],they track how fast android devices are moving,yes he lived at the same time as pocahontas too
TPCCHT-000006-18,thats really interesting ive also heard that jupiters moon ganymede would be considered a planet if it orbited the sun,it must be pretty big then i wouldnt want to ever visit the unnamed planet where shards of glass precipitate sideways at 4500 mph,i dont see that being a pleasant place its even 2000 degree weather that sounds like hell to me,TPCCHT-000009-26,probably not dog walking is good because it gives companionship and exercise at the same time,hey did you know the first marine predator was the shark they developed in the silurian period,very interesting i wonder how many aquatic species have gone extinct since then,TPCCHT-000003-1,[empty line],hi do you like to dance,i love to dance a lot how about you,TPCCHT-000009-23,i wonder if reptiles are considered ectothermic like most fish,that would be a good thing to know especially because some of them make good pets,yep but i dont know if walking a gecko would give the same health benefits as walking a dog,[attention check],[empty line],cats hear the sounds too faint or too high frequency human ears can hear,oh not sure about that really people say it is a great place to work at though,TPCCHT-000008-11,yeah i would have to watch it as well so are you also a fan of chewbacca i love him i think its funny theres a bat species called the chewbacca bat thats hilarious,i never felt strongly about chewbacca one way or the other tbh but ive got to google a picture of that bat to see what it looks like,i would like to see it as well did you know chewbacca actually had a wife and two boys thats pretty interesting,TPCCHT-000006-3,i do like comic books,have you heard that harley quinn has a new comic book series coming out,i have not heard that i know that comic book legend stan lee used to end every phone conversation with excelsior,TPCCHT-000007-5,they are saying space pulls galaxies outside of universe that we could see,yes that is what i was saying albeit i doubt that there is only one electron in the universe like some people say,i dont see anything supporting or denying that theory so we would never know for sure,TPCCHT-000004-10,yeah pretty cute did you know tupac was a ballet dancer,yes he was in the nutcracker as the mouse king,yeah do you like shakespeare,TPCCHT-000008-15,thats so weird isnt it ha are you one of the fans who believes both r2d2 and chewbacca were secret rebel agents i kind of think its an interesting theory,i wish i knew enough about the background to have an opinion but the last star wars i watched was episode iii when it came out on video i really need to rewatch to refresh my memory of it,same here like i also had forgotten that before his companionship with chewbacca hans solo was an imperial lieutenant,TPCCHT-000009-21,that would freak me out but i bet it catches that prey using its acoustic communication,could be fish are cool like that i think its neat that amphibians and reptiles and birds and mammals all had the same ancestry with fish,i wonder if reptiles are considered ectothermic like most fish
TPCCHT-000009-32,tuna can get quite large too its cool how big some fish get,one more before we godid you know domesticated animals develop a white patch on their forehead,yeah that is a pretty cool way to know they are domesticated rather than wild,TPCCHT-000008-9,yeah it was because of her that so many major changes were made like leias good luck kiss obi wans death etc she was truly a big influence,i remember thinking just about everything in the prequels timeline was off based on the mental version of the past the ot led us to construct but id have to rewatch to nail it down,yeah i would have to watch it as well so are you also a fan of chewbacca i love him i think its funny theres a bat species called the chewbacca bat thats hilarious,TPCCHT-000005-18,wow in japana and taiwan there are cat cafes where you can play with them,that seems fun that reminds me of the anderson house bed and breakfast in minnesota they used to offer a free cat for the night when you booked a room,wow there is a town in alaska where the mayor of the town is a cat,TPCCHT-000004-6,yes they go through 4 pairs in a single week,yeah that is a lot of shoes and also a lot of money,yeah babies are also really good at dancing when they hear music,TPCCHT-000001-9,yeah true did you know babies are really good at dancing,yes and they smile more when they hit the beat,yeah they are much smarter than we give them credit for,TPCCHT-000007-14,japan has a great printing history i am not surprised about this do you read comics books i have read a few but not about superheroes,i used to in my childhood but not any more i used to love inspector gadget,was inspect gadget a comics on paper or a cartoon on tv i was talking about what marvel is publishing,[attention check],[empty line],ha ha it was so nice chatting with you as well have a nice day bye,yeah did you know ballet dancers use a lot of shoes,TPCCHT-000005-20,wow there is a town in alaska where the mayor of the town is a cat,that is cool cats are a pretty smart species there has not been a cat species extinction in 10000 years,they are indeed very smart and that proves it nice chatting with you,TPCCHT-000006-2,do you like comic books,i do like comic books,have you heard that harley quinn has a new comic book series coming out,TPCCHT-000009-17,yes like for elderly who are without companions,or people with anxiety and depression or kids with autism,yes a seahorse wouldnt be very good for that purpose did you know seahorses are the only fish with a neck,TPCCHT-000002-1,[empty line],hey whats up do use google very ofteni really love the company and was surprised to hear that it was founded back in 1998,i think everyone must use it daily its become ingrained in every day life
TPCCHT-000001-19,yes otherwise the rhymes and puns do not seem to work out,yes he lived at the same time as pocahontas too,i wonder if they met how that would go from there,TPCCHT-000001-5,yeah did you know tupac was a ballet dancer,yes and he even was in the production of the nutcracker,yeah ballet dancer go through 4 pairs of shoes a week,TPCCHT-000000-14,did you know that a seahorse is the only fish to have a neck,freshwater fish only drink water through the skin via osmosis saltwater fish drink water through the mouth dolphins are friendly to human beings,interesting they also have gills did you know that jellyfish are immortal,TPCCHT-000007-12,maybe they did mean to say that our universe is contained in an electron in another universe,i dont know but i am at the end of knowledge on this subject what do you think about the facts of comics i would have thought us invented them but its japan or uk,japan has a great printing history i am not surprised about this do you read comics books i have read a few but not about superheroes,TPCCHT-000005-3,yes i think it is the most effective search engine how about you do you use gmail,yes a google search takes more computing power than sending astronauts tot he moon,and before on google moon they used to use cheese for close ups,TPCCHT-000000-13,yes they form a sister group of tourniquets they make the sea water clean and remove the dust from it fish is the biggest part in the ecosystem,did you know that a seahorse is the only fish to have a neck,freshwater fish only drink water through the skin via osmosis saltwater fish drink water through the mouth dolphins are friendly to human beings,[attention check],[empty line],yeah ballet dancer go through 4 pairs of shoes a week,say what now they have that,TPCCHT-000005-15,before google launched gmail that was the name of a free email service offered by garfields website that actually seems more fun,i know now everytime i open gmail i think of garfield,speaking of cats i would love to get a glow in the dark one they have those in south korea,TPCCHT-000009-27,hey did you know the first marine predator was the shark they developed in the silurian period,very interesting i wonder how many aquatic species have gone extinct since then,or have evolved into other species the shark has a higher core temperature than other fish because it is an active swimmer,TPCCHT-000006-13,i agree the marvel cinematic universe takes place in earth 199999 a multiverse different from the original comic book multiverse earth616,thats pretty wild marvel published a generic comic book in order to trademark the names superhero and supervillain that was pretty smart of them,no doubt do you know much about the planets or the universe,TPCCHT-000003-4,i am really bad but it is a good time,dancing is a lot of fun did you know that bruce lee was a great dancer,i heard that winning cha cha championships and everything
TPCCHT-000004-15,yes he lives at the same time as pocahontas did,i wonder if they had met what he would have written about her,yeah good point he also invented some womens names,TPCCHT-000003-14,sure thing did you hear about michael jacksons special patent shoes,no i know that michael jackson was a fantastic dancer but can you tell me more about his patent shoes if you dont mind,there was a specific device in his shoes that helped with his extreme lean in some dance moves,[attention check],[empty line],yeah true did you know babies are really good at dancing,yeah did you know tchaikozsky donated his skull in hopes it will be used in shakespeares plays,TPCCHT-000005-17,speaking of cats i would love to get a glow in the dark one they have those in south korea,wow in japana and taiwan there are cat cafes where you can play with them,that seems fun that reminds me of the anderson house bed and breakfast in minnesota they used to offer a free cat for the night when you booked a room,TPCCHT-000008-16,i wish i knew enough about the background to have an opinion but the last star wars i watched was episode iii when it came out on video i really need to rewatch to refresh my memory of it,same here like i also had forgotten that before his companionship with chewbacca hans solo was an imperial lieutenant,yeah i dont remember that at all he definitely doesnt seem like the type,TPCCHT-000000-20,yeah cats can be cool but they sure do spend a lot of their time sleeping,cats hear the sounds too faint or too high frequency human ears can hear,i heard that too well it was nice chatting with you have a good day,TPCCHT-000004-20,yes especially with punk and rhymes they do not work with modern language,yeah did you know tchaikozsky donated his skull in hopes it will be used in shakespeares plays,yes and did get used so that is good nice chat,[attention check],[empty line],hahah thats a good way of putting it,naming a cloned cat copy cat thats cute,TPCCHT-000000-19,the cat is referred as domestic cat and wild cat they make our world very clean from rats,yeah cats can be cool but they sure do spend a lot of their time sleeping,cats hear the sounds too faint or too high frequency human ears can hear,TPCCHT-000005-9,interesting google really is taking over the world their data center electricity use is 001 percent of all worldwide electricity,yes for sure they are they have grown so much over the years,but i like that they like to have fun too have you ever typed askew into google,TPCCHT-000004-8,yeah babies are also really good at dancing when they hear music,yes and they smile more when they hit the beat,yeah pretty cute did you know tupac was a ballet dancer
TPCCHT-000008-2,are you a star wars fan i need to rewatch the ot and the prequels so i can watch the subsequent stuff for the first time and understand whats going on,hi yes i am a huge fan of star wars i also loved how it was the first major movie to be dubbed in navajo i think that is so cool,yeah thats wild i guess it takes a pretty small audience to pay for the translation work,TPCCHT-000001-1,[empty line],do you like dance,yes i do did you know bruce lee was a cha cha dancer,TPCCHT-000001-18,yes and for his works you have to use old english for it to make sense,yes otherwise the rhymes and puns do not seem to work out,yes he lived at the same time as pocahontas too,[attention check],[empty line],thats funny the current ceo is sundar pichai i didnt know larry page was replaced,that is cool cats are a pretty smart species there has not been a cat species extinction in 10000 years,TPCCHT-000007-16,was inspect gadget a comics on paper or a cartoon on tv i was talking about what marvel is publishing,on paper and yes i do recall seeing superhero and hulk books,i think that hulk is in the marvel universe but like i said i never read anything from marvel nor dc comics,TPCCHT-000009-1,[empty line],naming a cloned cat copy cat thats cute,you must have esp i was going to tell you teh same thing i have a sad story to tell there are less tigers living in the wild in asia than as pets in the us,TPCCHT-000006-11,i didnt know that i wonder how many people use it by comparison to japan the us comic book market in the us and canada is 109 billion,thats crazy japan is way more into comic books than america it seems,i agree the marvel cinematic universe takes place in earth 199999 a multiverse different from the original comic book multiverse earth616,TPCCHT-000005-14,oh not sure about that really people say it is a great place to work at though,before google launched gmail that was the name of a free email service offered by garfields website that actually seems more fun,i know now everytime i open gmail i think of garfield,TPCCHT-000000-18,what about cats do you like cats im a dog fan myself,the cat is referred as domestic cat and wild cat they make our world very clean from rats,yeah cats can be cool but they sure do spend a lot of their time sleeping,TPCCHT-000001-2,do you like dance,yes i do did you know bruce lee was a cha cha dancer,yes he even won a hardcore cha cha championship in 1958,[attention check],[empty line],wow that is amazing coming from such a talented singer and dancer i couldnt even dance like that even if i dreamed of it,do you like dance
TPCCHT-000001-15,yes i do do you know that he popularized many phrases,yes like good riddance in my heart of hearts and such,yes and then he also invented names like jessica olivia and miranda,TPCCHT-000002-18,i have never been to a cat cafe no what about you seems like they are popular in japan and taiwan,no but i would love to paying hourly to hang out with adorable cats im in,yeah that would be a lot of fun i didnt realize that cats sleep so much must be nice,[attention check],[empty line],they are saying space pulls galaxies outside of universe that we could see,i love it did you know bruce lee was a dancer,TPCCHT-000009-34,yeah that is a pretty cool way to know they are domesticated rather than wild,very cool chatting with you did you know there are 6331 groups of genes they are common to all living animals,it was a cool exercise in zoology chatting with you,TPCCHT-000008-6,7500 is amazingly low i guess since darth vader was masked jones could just record everything at once in the studio,agreed can you also believe that george lucas wife at the time marcia won an academy award for her editing on star wars and yet george lucas didnt win an academy award for directing that is just downright unbelievable,a lot of people think the ot was so much better than the prequels because of her influence,TPCCHT-000000-11,yesgoogle is the biggest search engine and google service figure out top 100 website including youtube and blogger,by the way do you like fish,yes they form a sister group of tourniquets they make the sea water clean and remove the dust from it fish is the biggest part in the ecosystem,TPCCHT-000001-12,true did you know jackson had a patent on a dancing device,yes it helped him smooth out his dance moves,nice do you like shakespeare,TPCCHT-000000-15,freshwater fish only drink water through the skin via osmosis saltwater fish drink water through the mouth dolphins are friendly to human beings,interesting they also have gills did you know that jellyfish are immortal,yes fish is the important resources of human world wide for the commercial and subsistence fish hunts the fish in the wild fisheries,TPCCHT-000000-10,i like google chrome do you use it as well for your browser,yesgoogle is the biggest search engine and google service figure out top 100 website including youtube and blogger,by the way do you like fish,TPCCHT-000004-3,i love it did you know bruce lee was a dancer,yes he even won a cha cha championship in 1958,yeah did you know ballet dancers use a lot of shoes,TPCCHT-000001-16,yes like good riddance in my heart of hearts and such,yes and then he also invented names like jessica olivia and miranda,yes and for his works you have to use old english for it to make sense
TPCCHT-000000-5,google provides online related services and products which includes online ads search engine and cloud computing,yeah their services are good im just not a fan of intrusive they can be on our personal lives,google is leading the alphabet subsidiary and will continue to be the umbrella company for alphabet internet interest,TPCCHT-000007-13,i dont know but i am at the end of knowledge on this subject what do you think about the facts of comics i would have thought us invented them but its japan or uk,japan has a great printing history i am not surprised about this do you read comics books i have read a few but not about superheroes,i used to in my childhood but not any more i used to love inspector gadget,TPCCHT-000009-5,of roosevelts 20 pets two were a bear and hyena,whoa cool i know he seemed to be quite the animal lover,and there are more pets in japan than there are children under 15 you cant be a pets owner in boulder but you can be their guardian,TPCCHT-000009-30,that makes sense i always thought sharks were pretty interesting because they have cartilage instead of bone,yes fascinating fact tuna also hold a higher core temperature they are in the same class as shark because they are also active swimmers,tuna can get quite large too its cool how big some fish get,TPCCHT-000001-4,yes he even won a hardcore cha cha championship in 1958,yeah did you know tupac was a ballet dancer,yes and he even was in the production of the nutcracker,TPCCHT-000007-18,i think that hulk is in the marvel universe but like i said i never read anything from marvel nor dc comics,right me neither there were so many good choices of comics when i was growing up,not where i lived if i want to read a comic book i had to go to the library but as i think about it tintin is a comic book so i was wrong i did read a lot of them when i was young but they were european,TPCCHT-000001-10,yes and they smile more when they hit the beat,yeah they are much smarter than we give them credit for,true did you know jackson had a patent on a dancing device,TPCCHT-000001-13,yes it helped him smooth out his dance moves,nice do you like shakespeare,yes i do do you know that he popularized many phrases,TPCCHT-000004-5,yeah did you know ballet dancers use a lot of shoes,yes they go through 4 pairs in a single week,yeah that is a lot of shoes and also a lot of money,TPCCHT-000007-2,can you believe there is stars that can be cold enough to be touched the universe is so diverse,its amazing and ever evolving,yeah and there is even places that exist but we never will be able to see because they are too far away,[attention check],[empty line],yeah and saltwater fish are lucky because they can do that and drink through their mouths,yeah ballet dancer go through 4 pairs of shoes a week
TPCCHT-000003-10,yeah he was the mouse king in the nutcracker thats pretty cool i would definitely never have guessed that about him,neither did i that is insane because tupac was a famous rapper,he was indeed his music is even in the library of congress,TPCCHT-000002-3,i think everyone must use it daily its become ingrained in every day life,agreed the google headquarters in mountain view california is nicknamed the google plex,thats funny the current ceo is sundar pichai i didnt know larry page was replaced,TPCCHT-000003-17,wow that is amazing coming from such a talented singer and dancer i couldnt even dance like that even if i dreamed of it,me neither i could never be a professional dancer,i heard that some professional ballet dancer can go through four pairs of shoes in a week,TPCCHT-000007-17,on paper and yes i do recall seeing superhero and hulk books,i think that hulk is in the marvel universe but like i said i never read anything from marvel nor dc comics,right me neither there were so many good choices of comics when i was growing up,TPCCHT-000009-2,naming a cloned cat copy cat thats cute,you must have esp i was going to tell you teh same thing i have a sad story to tell there are less tigers living in the wild in asia than as pets in the us,really thats awful to hear,TPCCHT-000006-16,i know a little bit ive heard that venus does not tilt,that interesting uranus is different to it actually rotates sideways and rolls around the sun rather than spins like the other planets,thats really interesting ive also heard that jupiters moon ganymede would be considered a planet if it orbited the sun,TPCCHT-000009-25,yep but i dont know if walking a gecko would give the same health benefits as walking a dog,probably not dog walking is good because it gives companionship and exercise at the same time,hey did you know the first marine predator was the shark they developed in the silurian period,TPCCHT-000000-1,[empty line],are you a fan of google or microsoft,both are excellent technology they are helpful in many ways for the security purpose both are super,TPCCHT-000006-15,no doubt do you know much about the planets or the universe,i know a little bit ive heard that venus does not tilt,that interesting uranus is different to it actually rotates sideways and rolls around the sun rather than spins like the other planets,TPCCHT-000003-20,that is crazy that cant be cheap for them,no i think its very expensive for them to be professional ballet dancers based on this,it has been great chatting but i must go gotta go get my bruce lee on the martial arts part definitely not the dance,[attention check],[empty line],they are saying space pulls galaxies outside of universe that we could see,they track how fast android devices are moving
TPCCHT-000002-14,it seems they do i also didnt know that there was a difference with how freshwater and saltwater fish drink,thats crazy i wonder why fresh water ones only use osmosis,yeah and saltwater fish are lucky because they can do that and drink through their mouths,[attention check],[empty line],yes a google search takes more computing power than sending astronauts tot he moon,have you heard that harley quinn has a new comic book series coming out,TPCCHT-000003-11,neither did i that is insane because tupac was a famous rapper,he was indeed his music is even in the library of congress,i didnt know this thanks for sharing,TPCCHT-000002-13,i guess they live up to their name then,it seems they do i also didnt know that there was a difference with how freshwater and saltwater fish drink,thats crazy i wonder why fresh water ones only use osmosis,TPCCHT-000003-5,dancing is a lot of fun did you know that bruce lee was a great dancer,i heard that winning cha cha championships and everything,yes that is amazing he won the hong kong chacha championship back in 1958 in fact,TPCCHT-000002-7,say what now they have that,yeah apparently lol they do that instead of hiring people to mow,thats both funny and i guess imaginative leave it to a huge tech company to employ actual goats,TPCCHT-000008-18,yeah i dont remember that at all he definitely doesnt seem like the type,indeed he doesnt but ive always liked chewbacca because he reminded me of a giant dog ha speaking of dogs i think its cool that dogs along with elephants are the only animals that understand pointing,i wouldnt be surprised if cats understood it but just didnt care lol,TPCCHT-000002-6,oh yeah i didnt know that either i also want to go to google plex to see the goats who mow their lawn by eating it,say what now they have that,yeah apparently lol they do that instead of hiring people to mow,TPCCHT-000008-8,a lot of people think the ot was so much better than the prequels because of her influence,yeah it was because of her that so many major changes were made like leias good luck kiss obi wans death etc she was truly a big influence,i remember thinking just about everything in the prequels timeline was off based on the mental version of the past the ot led us to construct but id have to rewatch to nail it down,TPCCHT-000003-2,hi do you like to dance,i love to dance a lot how about you,i am really bad but it is a good time,TPCCHT-000008-20,i wouldnt be surprised if cats understood it but just didnt care lol,ha no kidding speaking of dogs and cats i like how google prefers dogs over cats and even states in their code of conduct that theyre a dog company that is awesome,yeah thats a weird official policy for whats supposed to be a neutral search engine nice chatting with you
