NUMBER_1,DIALOG_1_1,DIALOG_1_2,DIALOG_1_3,DIALOG_1_4,NUMBER_2,DIALOG_2_1,DIALOG_2_2,DIALOG_1_3,DIALOG_2_4,NUMBER_3,DIALOG_3_1,DIALOG_3_2,DIALOG_1_3,DIALOG_3_4
MPATHY-000000-0003,I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people_comma_ we felt like the only people in the world.;,Was this a friend you were in love with_comma_ or just a best friend?;,This was a best friend. I miss her.;,Where has she gone?;,MPATHY-000001-0005,dont you feel so.. its a wonder ;,I do actually hit blank walls a lot of times but i get by;,i virtually thought so.. and i used to get sweatings;,Wait what are sweatings;,MPATHY-012751-0002,[empty line],i ordered from a new place today;,What kind of restaurant?;,a soul food restaurant. It was terrible.;
MPATHY-000001-0005,dont you feel so.. its a wonder ;,I do actually hit blank walls a lot of times but i get by;,i virtually thought so.. and i used to get sweatings;,Wait what are sweatings;,MPATHY-012751-0002,[empty line],i ordered from a new place today;,What kind of restaurant?;,a soul food restaurant. It was terrible.;,MPATHY-000074-0002,[empty line],My marriage give me hopefulness about the life. exactly I want to say is may not it's marriage actually it's my wife given me the hope about the life. ;,Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!;,Yeah_comma_ thank you! at which situation did you feel hope for your life?;
MPATHY-012751-0002,[empty line],i ordered from a new place today;,What kind of restaurant?;,a soul food restaurant. It was terrible.;,MPATHY-000074-0002,[empty line],My marriage give me hopefulness about the life. exactly I want to say is may not it's marriage actually it's my wife given me the hope about the life. ;,Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!;,Yeah_comma_ thank you! at which situation did you feel hope for your life?;,MPATHY-000001-0001,[empty line],[empty line],it feels like hitting to blank wall when i see the darkness;,Oh ya? I don't really see how;
MPATHY-000074-0002,[empty line],My marriage give me hopefulness about the life. exactly I want to say is may not it's marriage actually it's my wife given me the hope about the life. ;,Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!;,Yeah_comma_ thank you! at which situation did you feel hope for your life?;,MPATHY-000001-0001,[empty line],[empty line],it feels like hitting to blank wall when i see the darkness;,Oh ya? I don't really see how;,MPATHY-000040-0001,[empty line],[empty line],When i was younger_comma_ my mother would always take away my PC because I would always play video games on them.;,I was the same way.;
MPATHY-000001-0001,[empty line],[empty line],it feels like hitting to blank wall when i see the darkness;,Oh ya? I don't really see how;,MPATHY-000040-0001,[empty line],[empty line],When i was younger_comma_ my mother would always take away my PC because I would always play video games on them.;,I was the same way.;,MPATHY-000021-0003,What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.;,That's very scary. I hope no one got hurt.;,We were OK_comma_ though the tree broke through only a few feet away from my daughter.;,So happy everyone was fine!! Everything else can be fixed.;
MPATHY-000040-0001,[empty line],[empty line],When i was younger_comma_ my mother would always take away my PC because I would always play video games on them.;,I was the same way.;,MPATHY-000021-0003,What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.;,That's very scary. I hope no one got hurt.;,We were OK_comma_ though the tree broke through only a few feet away from my daughter.;,So happy everyone was fine!! Everything else can be fixed.;,MPATHY-000021-0002,[empty line],What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.;,That's very scary. I hope no one got hurt.;,We were OK_comma_ though the tree broke through only a few feet away from my daughter.;
MPATHY-000021-0003,What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.;,That's very scary. I hope no one got hurt.;,We were OK_comma_ though the tree broke through only a few feet away from my daughter.;,So happy everyone was fine!! Everything else can be fixed.;,MPATHY-000021-0002,[empty line],What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.;,That's very scary. I hope no one got hurt.;,We were OK_comma_ though the tree broke through only a few feet away from my daughter.;,MPATHY-000090-0003,I am afraid my neighbors are causing snakes to come over my way.;,What are they doing to cause you to think that?;,They aren't clean and I've been getting a lot of mice_comma_ and snakes follow them I think.;,I have heard that too. You might want to contact your local district.;
MPATHY-000021-0002,[empty line],What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.;,That's very scary. I hope no one got hurt.;,We were OK_comma_ though the tree broke through only a few feet away from my daughter.;,MPATHY-000090-0003,I am afraid my neighbors are causing snakes to come over my way.;,What are they doing to cause you to think that?;,They aren't clean and I've been getting a lot of mice_comma_ and snakes follow them I think.;,I have heard that too. You might want to contact your local district.;,MPATHY-000029-0001,[empty line],[empty line],I never took a drink before and my friends were all over me to take a drink;,Why did you feel guilty for taking a drink?;
MPATHY-000090-0003,I am afraid my neighbors are causing snakes to come over my way.;,What are they doing to cause you to think that?;,They aren't clean and I've been getting a lot of mice_comma_ and snakes follow them I think.;,I have heard that too. You might want to contact your local district.;,MPATHY-000029-0001,[empty line],[empty line],I never took a drink before and my friends were all over me to take a drink;,Why did you feel guilty for taking a drink?;,MPATHY-012751-0003,i ordered from a new place today;,What kind of restaurant?;,a soul food restaurant. It was terrible.;,Oh_comma_ I'm sorry to hear that.;
MPATHY-000029-0001,[empty line],[empty line],I never took a drink before and my friends were all over me to take a drink;,Why did you feel guilty for taking a drink?;,MPATHY-012751-0003,i ordered from a new place today;,What kind of restaurant?;,a soul food restaurant. It was terrible.;,Oh_comma_ I'm sorry to hear that.;,MPATHY-000029-0006,I can understand. I am not a big drinker myself_comma_ but I wouldn't feel guilty about it.  Not unless you promised someone you wouldn't drink.;,Yeah I did to my mum and dad...When I started vomiting I mess my dress and mum knew. ;,Oh yea I can understand that then... Well I am sure you learned your lesson_comma_ right?;,Yeah bad...anyway bye...Thanks for the chat. ;
MPATHY-012751-0003,i ordered from a new place today;,What kind of restaurant?;,a soul food restaurant. It was terrible.;,Oh_comma_ I'm sorry to hear that.;,MPATHY-000029-0006,I can understand. I am not a big drinker myself_comma_ but I wouldn't feel guilty about it.  Not unless you promised someone you wouldn't drink.;,Yeah I did to my mum and dad...When I started vomiting I mess my dress and mum knew. ;,Oh yea I can understand that then... Well I am sure you learned your lesson_comma_ right?;,Yeah bad...anyway bye...Thanks for the chat. ;,MPATHY-000090-0002,[empty line],I am afraid my neighbors are causing snakes to come over my way.;,What are they doing to cause you to think that?;,They aren't clean and I've been getting a lot of mice_comma_ and snakes follow them I think.;
MPATHY-000029-0006,I can understand. I am not a big drinker myself_comma_ but I wouldn't feel guilty about it.  Not unless you promised someone you wouldn't drink.;,Yeah I did to my mum and dad...When I started vomiting I mess my dress and mum knew. ;,Oh yea I can understand that then... Well I am sure you learned your lesson_comma_ right?;,Yeah bad...anyway bye...Thanks for the chat. ;,MPATHY-000090-0002,[empty line],I am afraid my neighbors are causing snakes to come over my way.;,What are they doing to cause you to think that?;,They aren't clean and I've been getting a lot of mice_comma_ and snakes follow them I think.;,MPATHY-000074-0004,Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!;,Yeah_comma_ thank you! at which situation did you feel hope for your life?;,When my first daugther was born! i saw in new life_comma_ i thought everything in the world can change_comma_ we need to be pure as kids.;,Wow! you're right. We should learn from kids. ;
MPATHY-000090-0002,[empty line],I am afraid my neighbors are causing snakes to come over my way.;,What are they doing to cause you to think that?;,They aren't clean and I've been getting a lot of mice_comma_ and snakes follow them I think.;,MPATHY-000074-0004,Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!;,Yeah_comma_ thank you! at which situation did you feel hope for your life?;,When my first daugther was born! i saw in new life_comma_ i thought everything in the world can change_comma_ we need to be pure as kids.;,Wow! you're right. We should learn from kids. ;,MPATHY-000039-0005,I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls.;,I live near the ocean_comma_ so I do understand how this can be. I hope you ran_comma_ very quickly.;,I went inside. I donr know how dangerous they are but I didnt want to fall 7 stories.;,I heard a story of seagulls drowning a man to death.;
MPATHY-000074-0004,Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!;,Yeah_comma_ thank you! at which situation did you feel hope for your life?;,When my first daugther was born! i saw in new life_comma_ i thought everything in the world can change_comma_ we need to be pure as kids.;,Wow! you're right. We should learn from kids. ;,MPATHY-000039-0005,I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls.;,I live near the ocean_comma_ so I do understand how this can be. I hope you ran_comma_ very quickly.;,I went inside. I donr know how dangerous they are but I didnt want to fall 7 stories.;,I heard a story of seagulls drowning a man to death.;,MPATHY-012751-0001,[empty line],[empty line],i ordered from a new place today;,What kind of restaurant?;
MPATHY-000039-0005,I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls.;,I live near the ocean_comma_ so I do understand how this can be. I hope you ran_comma_ very quickly.;,I went inside. I donr know how dangerous they are but I didnt want to fall 7 stories.;,I heard a story of seagulls drowning a man to death.;,MPATHY-012751-0001,[empty line],[empty line],i ordered from a new place today;,What kind of restaurant?;,MPATHY-000029-0003,I never took a drink before and my friends were all over me to take a drink;,Why did you feel guilty for taking a drink?;,It was not my thing and the moment I took I did wrong. Later in the night I started feeling bad.;,I can understand. I am not a big drinker myself_comma_ but I wouldn't feel guilty about it.  Not unless you promised someone you wouldn't drink.;
MPATHY-012751-0001,[empty line],[empty line],i ordered from a new place today;,What kind of restaurant?;,MPATHY-000029-0003,I never took a drink before and my friends were all over me to take a drink;,Why did you feel guilty for taking a drink?;,It was not my thing and the moment I took I did wrong. Later in the night I started feeling bad.;,I can understand. I am not a big drinker myself_comma_ but I wouldn't feel guilty about it.  Not unless you promised someone you wouldn't drink.;,MPATHY-000039-0001,[empty line],[empty line],Hi I was recently on vacation and frightened half to death.;,Oh_comma_ my_comma_ what happened?;
